G,514068604,0.21670532,0.14523315,-0.20335388,3
A,523712158,-0.07846069,5.844757,8.198364,3
G,524017334,0.14219666,0.14523315,-0.20335388,3
M,526275635,18.721008,-22.351074,-50.22583,0
A,533874512,-0.15690613,5.8839874,8.394485,3
G,534210205,0.14219666,0.31871033,-0.18746948,3
M,543853760,18.721008,-21.659851,-50.22583,0
A,544372559,-0.11767578,5.923218,8.433716,3
G,544708252,0.08721924,0.50686646,-0.15202332,3
A,554016113,-0.11767578,5.9820557,8.080673,3
G,554382324,0.05911255,0.6449127,-0.1288147,3
M,559875488,20.103455,-22.351074,-50.55847,0
A,564025879,-0.19613647,6.0408936,7.6687927,3
G,564361572,0.07009888,0.7157898,-0.12149048,3
A,574127197,-0.5295563,6.001663,7.2569275,3
G,574523926,0.12631226,0.5899353,-0.127594,3
M,576690674,19.758606,-22.006226,-48.893738,0
A,584136963,-0.84336853,5.90361,6.903885,3
G,584472656,0.18249512,0.34927368,-0.1434784,3
M,594177246,20.622253,-21.142578,-50.05951,0
A,594848633,-1.039505,5.86438,6.786209,3
G,595184326,0.20326233,0.10491943,-0.11538696,3
A,604248047,-1.0591125,5.8839874,7.1392365,3
G,604553223,0.18493652,-0.1088562,-0.035964966,3
M,610229492,19.412231,-20.62378,-49.560547,0
A,614501953,-0.8041382,5.9428253,7.7472534,3
G,614868164,0.12387085,-0.24081421,0.05809021,3
A,624389648,-0.5491791,5.962448,8.374878,3
G,624725342,0.07987976,-0.30921936,0.13627625,3
M,627014160,19.758606,-22.351074,-50.22583,0
A,634552002,-0.23536682,6.1193542,8.5121765,3
G,634887695,0.08232117,-0.30189514,0.17047119,3
M,644500732,18.893433,-22.869873,-50.724792,0
A,645019531,-0.23536682,6.2174225,8.35527,3
G,645355225,0.16661072,-0.21392822,0.1729126,3
A,654663086,-0.3530426,6.2174225,7.786484,3
G,654998779,0.2778015,-0.11741638,0.15338135,3
M,660583496,19.584656,-23.216248,-49.061584,0
A,664703369,-0.4118805,6.1585693,7.3746033,3
G,665039063,0.32667542,-0.034347534,0.14849854,3
A,674835205,-0.50994873,6.178192,6.903885,3
G,675201416,0.28634644,-0.034347534,0.14849854,3
M,677337647,17.338562,-22.697449,-49.227905,0
A,684875488,-0.5295563,6.1977997,6.884262,3
G,685211182,0.28634644,0.048736572,0.17170715,3
M,694854736,18.893433,-22.525024,-50.05951,0
A,695404053,-0.43148804,6.295868,7.1392365,3
G,695739746,0.16905212,0.069488525,0.2046814,3
A,704956055,-0.21574402,6.2762604,7.5903473,3
G,705261231,0.010238647,0.010864258,0.24989319,3
M,710906982,19.412231,-23.388672,-51.223755,0
A,715148926,0.0,6.354706,7.9826202,3
G,715545654,-0.11312866,-0.09541321,0.2828827,3
A,725128174,0.15690613,6.3743286,8.551392,3
G,725433350,-0.17176819,-0.2237091,0.2999878,3
M,728210449,18.721008,-21.659851,-49.89319,0
A,736175537,0.3334198,6.3743286,8.786758,3
G,736511231,-0.14001465,-0.33122253,0.2755432,3
A,745269775,0.49032593,6.3743286,8.767151,3
G,745574951,-0.0728302,-0.32144165,0.22912598,3
M,746185303,18.20221,-21.487427,-50.39215,0
A,755432129,0.60801697,6.4331665,8.374878,3
